FLORIDA DEPARTMENT OF EDUCATION,,,,,,,,,,,,,,,,,,
SCHOOL MEMBERSHIP BY GRADE,,,,,,,,,,,,,,,,,,
SCHOOL YEAR 2012-13,,,,,,,,,,,,,,,,,,
SURVEY 2 DATA as of 11/25/12 ,,,,,,,,,,,,,,,,,,
A blank cell indicates no population for the subgroup.,,,,,,,,,,,,,,,,,,
# cells indicate subgroup population fewer than 10,,,,,,,,,,,,,,,,,,
DISTRICT #,DISTRICT,SCHOOL #,SCHOOL,PK,KG,1ST,2ND,3RD,4TH,5TH,6TH,7TH,8TH,9TH,10TH,11TH,12TH,TOTAL MEMBERSHIP
5,BREVARD,2121,"JOHN F. TURNER, SR. ELEMENTARY",64,117,96,101,108,111,97,78, , , , , , ,772
5,BREVARD,2122,SOUTHWEST MIDDLE SCHOOL,, , , , , , , ,489,505, , , , ,994
5,BREVARD,2131,COLUMBIA ELEMENTARY SCHOOL,30,92,94,94,98,81,98,106, , , , , , ,693
5,BREVARD,2151,DISCOVERY ELEMENTARY SCHOOL,25,88,110,84,93,78,100,111, , , , , , ,689
5,BREVARD,2161,CHRISTA MCAULIFFE ELEM. SCHOOL,40,135,103,86,104,93,104,115, , , , , , ,780
5,BREVARD,2171,RIVIERA ELEMENTARY SCHOOL,74,157,115,96,86,73,69,88, , , , , , ,758
5,BREVARD,2191,JUPITER ELEMENTARY SCHOOL,71,108,120,113,106,107,115,103, , , , , , ,843
5,BREVARD,2211,BAYSIDE HIGH SCHOOL,, , , , , , , , , ,470,399,365,372,"1,606"
5,BREVARD,2212,WESTSIDE ELEMENTARY SCHOOL,#,102,106,95,112,112,118,109, , , , , , ,756
5,BREVARD,2221,SUNRISE ELEMENTARY SCHOOL,27,117,117,88,105,116,94,92, , , , , , ,756
5,BREVARD,2311,HERITAGE HIGH SCHOOL,, , , , , , , , , ,513,449,384,451,"1,797"
5,BREVARD,3011,EAU GALLIE HIGH SCHOOL,37, , , , , , , , , ,515,412,351,360,"1,675"
5,BREVARD,3021,CENTRAL MIDDLE SCHOOL,, , , , , , , ,626,637, , , , ,"1,263"
5,BREVARD,3031,LYNDON B. JOHNSON MIDDLE SCHL,, , , , , , , ,382,411, , , , ,793
5,BREVARD,3041,SHERWOOD ELEMENTARY SCHOOL,25,85,74,55,66,69,70,71, , , , , , ,515
5,BREVARD,3061,HARBOR CITY ELEMENTARY SCHOOL,27,68,52,76,63,44,58,52, , , , , , ,440
5,BREVARD,3071,SABAL ELEMENTARY SCHOOL,28,89,89,80,85,85,75,70, , , , , , ,601
5,BREVARD,3091,CROTON ELEMENTARY SCHOOL,18,113,89,74,108,89,67,71, , , , , , ,629
5,BREVARD,3101,ROY ALLEN ELEMENTARY SCHOOL,33,81,79,72,76,83,72,81, , , , , , ,577
5,BREVARD,3121,SUNTREE ELEMENTARY SCHOOL,#,83,78,94,99,83,106,99, , , , , , ,644
5,BREVARD,3131,LONGLEAF ELEMENTARY SCHOOL,21,77,74,81,92,91,118,100, , , , , , ,654
5,BREVARD,3141,WEST SHORE JUNIOR/SENIOR HIGH,, , , , , , , ,169,165,164,155,147,155,955
5,BREVARD,3151,QUEST ELEMENTARY SCHOOL,22,119,108,115,114,114,131,138, , , , , , ,861
5,BREVARD,4011,MERRITT ISLAND HIGH SCHOOL,17, , , , , , , , , ,364,412,341,367,"1,501"
5,BREVARD,4021,EDGEWOOD JR/SR HIGH SCHOOL,, , , , , , , ,182,185,142,154,143,124,930
5,BREVARD,4031,MILA ELEMENTARY SCHOOL,42,77,85,64,60,67,64,57,#, , , , , ,518
5,BREVARD,4041,TROPICAL ELEMENTARY SCHOOL,#,98,87,89,64,89,88,121, , , , , , ,643
5,BREVARD,4051,AUDUBON ELEMENTARY SCHOOL,19,54,66,65,69,63,68,69, , , , , , ,473
5,BREVARD,4071,ROBERT L. STEVENSON ELEMENTARY,,54,54,72,72,85,88,64, , , , , , ,489
