"Student Membership by Grade, 2009-10",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,PK,KG,1ST,2ND,3RD,4TH,5TH,6TH,7TH,8TH,9TH,10TH,11TH,12TH,MEMBERSHIP
5,BREVARD,3131,LONGLEAF ELEMENTARY SCHOOL,20,91,90,104,77,100,112,111,0,0,0,0,0,0,705
5,BREVARD,3141,WEST SHORE JUNIOR/SENIOR HIGH,0,0,0,0,0,0,0,0,176,175,169,163,149,135,967
5,BREVARD,3151,QUEST ELEMENTARY SCHOOL,18,109,96,123,135,116,128,123,0,0,0,0,0,0,848
5,BREVARD,4011,MERRITT ISLAND HIGH SCHOOL,16,0,0,0,0,0,0,0,0,0,410,373,349,357,"1,505"
5,BREVARD,4021,EDGEWOOD JR/SR HIGH SCHOOL,0,0,0,0,0,0,0,0,183,205,162,154,117,127,948
5,BREVARD,4031,MILA ELEMENTARY SCHOOL,42,58,66,51,50,43,54,56,0,0,0,0,0,0,420
5,BREVARD,4041,TROPICAL ELEMENTARY SCHOOL,3,83,79,92,126,99,110,120,0,0,0,0,0,0,712
5,BREVARD,4051,AUDUBON ELEMENTARY SCHOOL,17,54,56,55,62,80,71,80,0,0,0,0,0,0,475
5,BREVARD,4071,ROBERT L. STEVENSON ELEMENTARY,0,72,70,72,55,69,60,65,0,0,0,0,0,0,463
5,BREVARD,4101,GARDENDALE ELEMENTARY MAGNET S,0,79,69,63,59,60,59,58,0,0,0,0,0,0,447
5,BREVARD,4111,THOMAS JEFFERSON MIDDLE SCHOOL,0,0,0,0,0,0,0,0,362,311,0,0,0,0,673
5,BREVARD,4121,LEWIS CARROLL ELEMENTARY SCHL,4,92,84,114,103,118,98,129,0,0,0,0,0,0,742
5,BREVARD,5011,COCOA BEACH JUNIOR/SENIOR HIGH,0,0,0,0,0,0,0,0,223,215,298,277,197,192,"1,402"
5,BREVARD,5012,THEODORE ROOSEVELT ELEMENTARY,0,55,54,56,62,64,69,53,0,0,0,0,0,0,413
5,BREVARD,5021,FREEDOM 7 ELEMENTARY SCHOOL IN,0,54,54,54,54,66,66,65,0,0,0,0,0,0,413
5,BREVARD,5031,CAPE VIEW ELEMENTARY SCHOOL,25,52,56,43,43,43,57,42,0,0,0,0,0,0,361
5,BREVARD,6011,SATELLITE SENIOR HIGH SCHOOL,11,0,0,0,0,0,0,0,0,0,323,278,284,304,"1,200"
5,BREVARD,6012,DELAURA MIDDLE SCHOOL,0,0,0,0,0,0,0,0,302,365,0,0,0,0,667
